profile_id,lat,lon,date,day_of_year,sst,t_0,t_5,t_10,t_20,t_30,t_50,t_75,t_100,t_125,t_150,t_200,t_300,t_500,t_700,t_1000
6903141_343,23.5201,60.5452,2025-05-03,123,29.01,,28.908,27.659,25.821,24.543,24.033,23.624,23.363,20.985,19.658,18.922,16.743,12.886,11.153,8.603
6903140_343,22.0505,62.5392,2025-05-03,123,29.06,,29.25,29.255,29.252,28.903,24.922,23.725,23.143,22.471,21.881,19.698,17.171,13.375,11.517,9.363
2903891_060,12.9333,89.8167,2025-05-03,123,30.28,,30.456,30.38,30.265,29.861,28.752,28.286,25.679,21.212,18.563,14.409,11.917,10.109,8.644,6.735
4903776_060,10.4167,88.4667,2025-05-03,123,30.03,,30.594,30.327,30.303,30.079,28.738,25.827,23.341,20.027,16.47,13.504,11.426,9.595,8.34,6.781
7901126_060,11.5167,90.8167,2025-05-03,123,30.1,,30.58,30.495,30.284,29.921,29.105,27.086,23.863,20.014,16.895,13.74,11.676,9.9,8.474,6.747
1902594_075,10.8466,86.1725,2025-05-03,123,30.33,,30.452,30.47,30.428,30.107,29.22,27.35,23.79,20.374,18.632,15.033,12.243,10.305,8.786,6.824
2903434_039,10.6267,84.8525,2025-05-03,123,30.28,,30.396,30.33,30.356,30.069,29.214,26.831,23.095,20.108,18.511,15.305,12.149,10.065,8.678,6.728
2903955_014,24.3274,58.6237,2025-05-03,123,30.61,,30.138,29.364,27.422,25.03,23.995,23.683,23.571,23.507,23.078,21.403,18.523,13.735,11.528,9.231
3902657_010,20.8276,60.8316,2025-05-02,122,29.33,,28.98,28.986,28.989,28.944,25.123,24.058,22.791,21.669,20.578,19.19,15.983,13.249,11.498,9.252
2903956_010,23.6347,60.51,2025-05-02,122,29.47,,28.125,28.115,26.172,24.515,24.152,23.839,23.275,21.846,20.426,19.253,17.095,13.26,11.617,9.099
4903839_015,24.7328,59.3121,2025-05-02,122,30.25,,30.181,28.965,28.09,25.232,24.283,23.805,23.696,23.524,23.085,21.147,20.122,13.417,11.616,9.16
1902660_014,21.0272,59.5965,2025-05-02,122,28.03,,27.929,27.929,27.859,25.774,24.517,24.189,23.37,21.179,20.123,19.145,16.637,13.17,11.427,9.329
6990700_006,23.2675,59.0723,2025-05-02,122,30.62,,29.587,27.85,25.355,24.395,23.699,23.595,23.214,22.246,21.132,19.585,17.342,13.449,11.308,9.2
7901125_060,13.9833,90.55,2025-05-02,122,30.15,,29.907,29.556,29.635,29.444,28.968,28.445,25.633,20.823,18.011,14.474,11.846,9.969,8.582,6.836
7901128_058,17.7167,66.9333,2025-05-02,122,30.32,,30.168,30.054,29.741,29.698,29.19,26.826,25.863,23.695,21.42,17.893,14.926,12.677,11.351,8.981
6990610_058,21.5167,62.75,2025-05-02,122,29.14,,29.108,29.11,29.082,28.524,25.541,23.88,23.774,23.453,23.166,18.925,16.859,13.514,11.515,9.229
